Date,TP
2016-01-15,0.04
2016-03-15,0.049
2016-04-15,0.047
2016-05-15,0.083
2016-06-15,0.057
2016-07-15,0.085
2016-08-15,0.074
2016-09-15,0.043
2016-10-15,0.066
2016-11-15,0.05
2017-01-15,0.054
2017-02-15,0.035
2017-04-15,0.063
2017-05-15,0.04
2017-06-15,0.03
2017-07-15,0.06
2017-08-15,0.03
2017-09-15,0.09
2017-11-15,0.02
2018-01-15,0.08
2018-02-15,0.07
2018-03-15,0.1
2018-04-15,0.07
2018-05-15,0.04
2018-06-15,0.02
2018-07-15,0.14
2018-08-15,0.02
2018-09-15,0.04
2018-10-15,0.02
2018-11-15,0.02
2019-04-15,0.01
2019-05-15,0.02
2019-06-15,0.01
2019-07-15,0.01
2019-08-15,0.01
2019-09-15,0.005
2019-10-15,0.03
2019-11-15,0.005
2020-01-15,0.005
2020-02-15,0.005
2020-03-15,0.005
2020-04-15,0.02
2020-05-15,0.012
2020-06-15,0.03
2020-07-15,0.033
2020-08-15,0.035
2020-09-15,0.031
2020-10-15,0.019
2020-11-15,0.018
2020-12-15,0.018
2021-04-15,0.019
2021-05-15,0.018
2021-06-15,0.023
2021-07-15,0.035
2021-08-15,0.03
2021-09-15,0.028
2021-10-15,0.021
2022-04-15,0.03
2022-05-15,0.035
2022-06-15,0.04
2022-07-15,0.035
2022-08-15,0.031
2022-09-15,0.028
2022-10-15,0.029
2022-11-15,0.03
