Date,Chla
2016-01-15,0.001545
2016-02-15,0.001455
2016-03-15,0.001545
2016-04-15,0.001545
2016-05-15,0.002
2016-06-15,0.002
2016-07-15,0.001455
2016-08-15,0.00057
2016-09-15,0.00109
2016-10-15,0.001545
2016-11-15,0.001525
2016-12-15,0.001545
2017-01-15,0.001545
2017-02-15,0.001545
2017-03-15,0.00155
2017-04-15,0.0011
2017-05-15,0.00105
2017-06-15,0.0009
2017-07-15,0.00105
2017-08-15,0.002
2017-09-15,0.002
2017-10-15,0.002
2017-11-15,0.001665
2017-12-15,0.0015
2018-01-15,0.001
2018-02-15,0.001
2018-03-15,0.0035
2018-04-15,0.001
2018-05-15,0.001
2018-06-15,0.002
2018-07-15,0.003
2018-08-15,0.003
2018-09-15,0.0045
2018-10-15,0.0035
2018-11-15,0.002
2018-12-15,0.0015
2019-01-15,0.0015
2019-02-15,0.002
2019-03-15,0.002085
2019-04-15,0.002
2019-05-15,0.002
2019-06-15,0.001
2019-07-15,0.002
2019-08-15,0.001
2019-09-15,0.003
2019-10-15,0.003
2019-11-15,0.002
2019-12-15,0.0015
2020-01-15,0.0015
2020-02-15,0.0015
2020-03-15,0.002
2020-04-15,0.002
2020-05-15,0.003
2020-06-15,0.0045
2020-07-15,0.0025
2020-08-15,0.002
2020-09-15,0.0065
2020-10-15,0.003
2020-11-15,0.002
2020-12-15,0.0025
2021-01-15,0.002
2021-02-15,0.001
2021-03-15,0.001
2021-04-15,0.001
2021-05-15,0.001
2021-06-15,0.0015
2021-07-15,0.0015
2021-08-15,0.003
2021-09-15,0.001
2021-10-15,0.001
2021-11-15,0.001
2021-12-15,0.001
2022-01-15,0.001
2022-02-15,0.001
2022-03-15,0.01
2022-04-15,0.001
2022-05-15,0.002
2022-06-15,0.0015
2022-07-15,0.001
2022-08-15,0.001
2022-09-15,0.001
2022-10-15,0.004
2022-11-15,0.002
2022-12-15,0.001
