Date,Chla
2016-01-15,0.00271
2016-02-15,0.00272
2016-03-15,0.00275
2016-04-15,0.00361
2016-05-15,0.00553
2016-06-15,0.00514
2016-07-15,0.00665
2016-08-15,0.00968
2016-09-15,0.00959
2016-10-15,0.00921
2016-11-15,0.0094
2016-12-15,0.0094
2017-01-15,0.00974
2017-02-15,0.00932
2017-03-15,0.00313
2017-04-15,0.00252
2017-05-15,0.002
2017-06-15,0.00219
2017-07-15,0.0065
2017-08-15,0.003
2017-09-15,0.003
2017-10-15,0.00233
2017-11-15,0.01017
2017-12-15,0.00167
2018-01-15,0.001
2018-02-15,0.001
2018-03-15,0.001
2018-04-15,0.005
2018-05-15,0.005
2018-06-15,0.007
2018-07-15,0.006
2018-09-15,0.001
2018-10-15,0.001
2018-11-15,0.001
2018-12-15,0.008
2019-01-15,0.001
2019-02-15,0.002
2019-03-15,0.001
2019-04-15,0.012
2019-05-15,0.001
2019-06-15,0.001
2019-09-15,0.004
2019-10-15,0.001
2019-11-15,0.003
2019-12-15,0.001
2020-01-15,0.001
2020-02-15,0.001
2020-03-15,0.003
2020-04-15,0.002
2020-05-15,0.001
2020-06-15,0.005
2020-09-15,0.013
2020-10-15,0.001
2020-11-15,0.004
2020-12-15,0.002
2021-01-15,0.002
2021-02-15,0.002
2021-03-15,0.001
2021-04-15,0.007
2021-05-15,0.011
2021-06-15,0.007
2021-10-15,0.015
2021-11-15,0.005
2021-12-15,0.004
2022-02-15,0.011
2022-03-15,0.001
2022-04-15,0.001
2022-05-15,0.005
2022-06-15,0.006
2022-09-15,0.004
2022-10-15,0.001
2022-11-15,0.008
2022-12-15,0.007
