Date,TP
2017-01-15,0.04
2017-02-15,0.03
2017-03-15,0.016
2017-04-15,0.03
2017-05-15,0.034
2017-06-15,0.03
2017-07-15,0.03
2017-08-15,0.03
2017-09-15,0.04
2017-10-15,0.04
2017-11-15,0.015
2017-12-15,0.04
2018-01-15,0.03333
2018-02-15,0.02
2018-03-15,0.02
2018-04-15,0.03
2018-05-15,0.03
2018-06-15,0.02
2018-07-15,0.03
2018-08-15,0.04
2018-09-15,0.02
2018-10-15,0.02
2018-11-15,0.04
2018-12-15,0.03
2019-01-15,0.02
2019-02-15,0.02
2019-03-15,0.02
2019-04-15,0.02
2019-05-15,0.01
2019-06-15,0.01
2019-07-15,0.005
2019-08-15,0.02
2019-09-15,0.005
2019-10-15,0.02
2019-11-15,0.02
2019-12-15,0.01
2020-01-15,0.005
2020-02-15,0.013
2020-03-15,0.005
2020-04-15,0.01
2020-05-15,0.01
2020-06-15,0.015
2020-07-15,0.023
2020-08-15,0.016
2020-09-15,0.015
2020-10-15,0.014
2020-11-15,0.013
2020-12-15,0.005
2021-02-15,0.04
2021-03-15,0.026
2021-04-15,0.016
2021-05-15,0.013
2021-06-15,0.016
2021-07-15,0.017
2021-08-15,0.016
2021-09-15,0.013
2021-10-15,0.013
2021-11-15,0.014
2021-12-15,0.01
2022-01-15,0.02
2022-02-15,0.025
2022-03-15,0.03
2022-04-15,0.009
2022-05-15,0.011
2022-06-15,0.011
2022-07-15,0.01
2022-08-15,0.012
2022-09-15,0.011
2022-10-15,0.011
2022-11-15,0.015
